object	rc	first error
geqo_selection.o	0	
getpeereid.o	0	
getpeereid_shlib.o	0	
getpeereid_srv.o	0	
ginarrayproc.o	0	
ginbtree.o	0	
ginbulk.o	0	
gindatapage.o	0	
gindesc.o	0	
ginentrypage.o	0	
ginfast.o	0	
ginget.o	0	
gininsert.o	0	
ginlogic.o	0	
ginpostinglist.o	0	
ginscan.o	0	
ginutil.o	0	
ginvacuum.o	0	
ginvalidate.o	0	
ginxlog.o	0	
gist.o	0	
gistbuild.o	0	
gistbuildbuffers.o	0	
gistdesc.o	0	
gistget.o	0	
gistproc.o	0	
gistscan.o	0	
gistsplit.o	0	
gistutil.o	0	
gistvacuum.o	0	
gistvalidate.o	0	
gistxlog.o	0	
globals.o	0	
gram.o	1	clang: error: clang frontend command failed with exit code 139 (use -v to see invocation)
guc-file.o	0	
guc.o	0	
guc_funcs.o	0	
guc_tables.o	0	
hash.o	0	
hash_xlog.o	0	
hashdesc.o	0	
hashfn.o	0	
hashfn_shlib.o	0	
hashfn_srv.o	0	
hashfunc.o	0	
hashinsert.o	0	
hashovfl.o	0	
hashpage.o	0	
hashsearch.o	0	
hashsort.o	0	
hashutil.o	0	
hashvalidate.o	0	
hba.o	0	
hbafuncs.o	0	
heap.o	0	
heapam.o	0	
heapam_handler.o	0	
heapam_visibility.o	0	
heapdesc.o	0	
heaptoast.o	0	
heaptuple.o	0	
help_config.o	0	
hio.o	0	
hmac.o	0	
hmac_shlib.o	0	
hmac_srv.o	0	
hyperloglog.o	0	
ifaddr.o	0	
ilist.o	0	
index.o	0	
indexam.o	0	
indexcmds.o	0	
indexfsm.o	0	
indexing.o	0	
indextuple.o	0	
indxpath.o	0	
inet_cidr_ntop.o	0	
inet_net_ntop.o	0	
inet_net_ntop_shlib.o	0	
inet_net_ntop_srv.o	0	
inet_net_pton.o	0	
inherit.o	0	
initsplan.o	0	
injection_point.o	0	
instrument.o	0	
int.o	0	
int8.o	0	
integerset.o	0	
interrupt.o	0	
inv_api.o	0	
inval.o	0	
ip.o	0	
ip_shlib.o	0	
ip_srv.o	0	
ipc.o	0	
ipci.o	0	
itemptr.o	0	
jit.o	0	
joininfo.o	0	
joinpath.o	0	
joinrels.o	0	
json.o	0	
jsonapi.o	0	
jsonapi_shlib.o	0	
jsonapi_srv.o	0	
jsonb.o	0	
jsonb_gin.o	0	
jsonb_op.o	0	
jsonb_util.o	0	
jsonbsubs.o	1	../../../../src/include/executor/execExpr.h:723:18: error: static assertion failed due to requirement 'sizeof(struct ExprEvalStep) <= 64': size of ExprEvalStep exceeds 64 bytes
jsonfuncs.o	0	
jsonlog.o	0	
jsonpath.o	0	
jsonpath_exec.o	1	../../../../src/include/executor/execExpr.h:723:18: error: static assertion failed due to requirement 'sizeof(struct ExprEvalStep) <= 64': size of ExprEvalStep exceeds 64 bytes
jsonpath_gram.o	1	clang: error: clang frontend command failed with exit code 139 (use -v to see invocation)
jsonpath_scan.o	0	
keywords.o	0	
keywords_shlib.o	0	
keywords_srv.o	0	
knapsack.o	0	
kwlookup.o	0	
kwlookup_shlib.o	0	
kwlookup_srv.o	0	
latch.o	0	
launch_backend.o	0	
launcher.o	0	
like.o	0	
like_support.o	0	
link-canary.o	0	
link-canary_shlib.o	0	
link-canary_srv.o	0	
list.o	0	
lmgr.o	0	
localbuf.o	0	
localtime.o	0	
lock.o	0	
lockcmds.o	0	
lockfuncs.o	0	
logging.o	0	
logical.o	0	
