arm,repetition,case,round,counter,value
capstone,2,12,30000,nodes_not_on_free_list,30050
capstone,2,12,40000,nodes_not_on_free_list,40050
capstone,2,12,50000,nodes_not_on_free_list,50050
capstone,2,12,60000,nodes_not_on_free_list,60050
capstone,2,12,70000,nodes_not_on_free_list,70050
capstone,2,12,80000,nodes_not_on_free_list,80050
capstone,2,12,90000,nodes_not_on_free_list,90050
capstone,2,12,100000,nodes_not_on_free_list,100050
capstone,2,12,110000,nodes_not_on_free_list,110050
capstone,2,12,120000,nodes_not_on_free_list,120050
capstone,2,12,130000,nodes_not_on_free_list,130050
capstone,2,12,140000,nodes_not_on_free_list,140050
capstone,2,12,150000,nodes_not_on_free_list,150050
capstone,2,12,160000,nodes_not_on_free_list,160050
capstone,2,12,170000,nodes_not_on_free_list,170050
capstone,2,12,180000,nodes_not_on_free_list,180050
capstone,2,12,190000,nodes_not_on_free_list,190050
capstone,2,12,200000,nodes_not_on_free_list,200050
capstone,2,12,210000,nodes_not_on_free_list,210050
capstone,2,12,220000,nodes_not_on_free_list,220050
capstone,2,12,230000,nodes_not_on_free_list,230050
capstone,2,12,240000,nodes_not_on_free_list,240050
capstone,2,12,250000,nodes_not_on_free_list,250050
capstone,2,12,260000,nodes_not_on_free_list,260050
capstone,2,12,270000,nodes_not_on_free_list,270050
capstone,2,12,280000,nodes_not_on_free_list,280050
capstone,2,12,290000,nodes_not_on_free_list,290050
capstone,2,12,300000,nodes_not_on_free_list,300050
capstone,3,13,1,nodes_not_on_free_list,51
capstone,3,13,10000,nodes_not_on_free_list,10050
capstone,3,13,20000,nodes_not_on_free_list,20050
capstone,3,13,30000,nodes_not_on_free_list,30050
capstone,3,13,40000,nodes_not_on_free_list,40050
capstone,3,13,50000,nodes_not_on_free_list,50050
capstone,3,13,60000,nodes_not_on_free_list,60050
capstone,3,13,70000,nodes_not_on_free_list,70050
capstone,3,13,80000,nodes_not_on_free_list,80050
capstone,3,13,90000,nodes_not_on_free_list,90050
capstone,3,13,100000,nodes_not_on_free_list,100050
capstone,3,13,110000,nodes_not_on_free_list,110050
capstone,3,13,120000,nodes_not_on_free_list,120050
capstone,3,13,130000,nodes_not_on_free_list,130050
capstone,3,13,140000,nodes_not_on_free_list,140050
capstone,3,13,150000,nodes_not_on_free_list,150050
capstone,3,13,160000,nodes_not_on_free_list,160050
capstone,3,13,170000,nodes_not_on_free_list,170050
capstone,3,13,180000,nodes_not_on_free_list,180050
capstone,3,13,190000,nodes_not_on_free_list,190050
capstone,3,13,200000,nodes_not_on_free_list,200050
capstone,3,13,210000,nodes_not_on_free_list,210050
capstone,3,13,220000,nodes_not_on_free_list,220050
capstone,3,13,230000,nodes_not_on_free_list,230050
capstone,3,13,240000,nodes_not_on_free_list,240050
capstone,3,13,250000,nodes_not_on_free_list,250050
capstone,3,13,260000,nodes_not_on_free_list,260050
capstone,3,13,270000,nodes_not_on_free_list,270050
capstone,3,13,280000,nodes_not_on_free_list,280050
capstone,3,13,290000,nodes_not_on_free_list,290050
capstone,3,13,300000,nodes_not_on_free_list,300050
capstone,3,13,0,nodes_not_on_free_list,300052
capstone,3,12,1,nodes_not_on_free_list,51
capstone,3,12,10000,nodes_not_on_free_list,10050
capstone,3,12,20000,nodes_not_on_free_list,20050
capstone,3,12,30000,nodes_not_on_free_list,30050
capstone,3,12,40000,nodes_not_on_free_list,40050
capstone,3,12,50000,nodes_not_on_free_list,50050
capstone,3,12,60000,nodes_not_on_free_list,60050
capstone,3,12,70000,nodes_not_on_free_list,70050
capstone,3,12,80000,nodes_not_on_free_list,80050
capstone,3,12,90000,nodes_not_on_free_list,90050
capstone,3,12,100000,nodes_not_on_free_list,100050
capstone,3,12,110000,nodes_not_on_free_list,110050
capstone,3,12,120000,nodes_not_on_free_list,120050
capstone,3,12,130000,nodes_not_on_free_list,130050
capstone,3,12,140000,nodes_not_on_free_list,140050
capstone,3,12,150000,nodes_not_on_free_list,150050
capstone,3,12,160000,nodes_not_on_free_list,160050
capstone,3,12,170000,nodes_not_on_free_list,170050
capstone,3,12,180000,nodes_not_on_free_list,180050
capstone,3,12,190000,nodes_not_on_free_list,190050
capstone,3,12,200000,nodes_not_on_free_list,200050
capstone,3,12,210000,nodes_not_on_free_list,210050
capstone,3,12,220000,nodes_not_on_free_list,220050
capstone,3,12,230000,nodes_not_on_free_list,230050
capstone,3,12,240000,nodes_not_on_free_list,240050
capstone,3,12,250000,nodes_not_on_free_list,250050
capstone,3,12,260000,nodes_not_on_free_list,260050
capstone,3,12,270000,nodes_not_on_free_list,270050
capstone,3,12,280000,nodes_not_on_free_list,280050
capstone,3,12,290000,nodes_not_on_free_list,290050
capstone,3,12,300000,nodes_not_on_free_list,300050
