case	fix	name	shape	mode	expected	passed	cause	pc	expected_pc	delivered	completed	runner_exit
0	1c7a70c9d9	wrong-bucket-alloc-across-connections	foreign or dead allocator	spatial	complete	False						0
0	1c7a70c9d9	wrong-bucket-alloc-across-connections	foreign or dead allocator	sublet	fault	False	0	0		False		0
4	c81adad105	brigade-not-cleaned-before-reuse	a recycled allocator serving its next user	spatial	complete	False						0
4	c81adad105	brigade-not-cleaned-before-reuse	a recycled allocator serving its next user	sublet	fault	False	0	0		False		0
6	4930450013	bucket-outlives-its-brigade	a pool outlived by its holder or its contents	spatial	complete	False						0
6	4930450013	bucket-outlives-its-brigade	a pool outlived by its holder or its contents	sublet	fault	False	0	0		False		0
